rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
3199,6422155,K00510.01,Kepler-172 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.940304817,4.738e-06,-4.738e-06,169.90496,0.00125,-0.00125,0.825,0.003,-0.62,2.7226,0.0368,-0.0368,472.4,10.0,-10.0,2.59,0.38,-0.27,1256.0,,,588.66,245.83,-153.26,51.8,1.0,q1_q17_dr25_tce,5527.0,111.0,-111.0,4.376,0.099,-0.11,1.054,0.152,-0.11,283.36841,41.821861,14.532
3200,6665695,K00561.01,Kepler-601 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.378868001,7.69e-06,-7.69e-06,169.61512,0.00118,-0.00118,0.758,0.098,-0.532,2.7222,0.0396,-0.0396,483.4,9.1,-9.1,1.86,0.13,-0.09,833.0,,,113.59,26.04,-19.07,60.6,1.0,q1_q17_dr25_tce,5077.0,101.0,-101.0,4.567,0.032,-0.048,0.774,0.051,-0.039,282.00461,42.176529,14.005
3201,6707833,K00563.01,Kepler-602 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,15.28467725,6.404e-05,-6.404e-05,175.62345,0.00313,-0.00313,0.774,0.13,-0.544,6.0768,0.0967,-0.0967,321.3,9.6,-9.6,2.7,0.43,-0.53,852.0,,,124.4,53.02,-48.07,38.1,1.0,q1_q17_dr25_tce,5763.0,86.0,-78.0,4.181,0.162,-0.108,1.374,0.219,-0.268,296.03198,42.14196,14.519
3202,9785921,K03372.02,,FALSE POSITIVE,FALSE POSITIVE,0.258,0,1,0,0,73.506021,0.002117,-0.002117,163.5692,0.0247,-0.0247,0.473,0.483,-0.269,5.734,0.5,-0.5,485.6,48.6,-48.6,2.37,0.75,-0.3,471.0,,,11.66,11.16,-4.15,11.3,2.0,q1_q17_dr25_tce,6215.0,194.0,-259.0,4.44,0.065,-0.208,1.052,0.332,-0.133,297.4809,46.589142,15.42
3203,6786037,K00564.01,Kepler-603 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.05349939,8.981e-05,-8.981e-05,171.92457,0.00278,-0.00278,0.008,0.393,-0.008,7.1605,0.0896,-0.0896,496.6,13.3,-13.3,2.75,0.44,-0.44,731.0,,,67.48,28.41,-22.44,39.1,2.0,q1_q17_dr25_tce,5751.0,78.0,-78.0,4.254,0.143,-0.104,1.247,0.2,-0.2,294.28098,42.29097,14.854
3204,6786037,K00564.02,Kepler-603 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,127.905412,0.000319,-0.000319,246.46401,0.00176,-0.00176,0.47,0.096,-0.255,14.475,0.137,-0.137,4020.6,25.0,-25.0,8.03,1.29,-1.29,401.0,,,6.09,2.56,-2.03,171.0,1.0,q1_q17_dr25_tce,5751.0,78.0,-78.0,4.254,0.143,-0.104,1.247,0.2,-0.2,294.28098,42.29097,14.854
3205,6786037,K00564.03,Kepler-603 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,6.21716039,1.899e-05,-1.899e-05,131.71857,0.00257,-0.00257,0.333,0.096,-0.333,4.4289,0.0641,-0.0641,211.2,9.2,-9.2,1.81,0.3,-0.29,1098.0,,,343.21,144.51,-114.12,25.0,3.0,q1_q17_dr25_tce,5751.0,78.0,-78.0,4.254,0.143,-0.104,1.247,0.2,-0.2,294.28098,42.29097,14.854
3206,4247092,K00403.01,,FALSE POSITIVE,FALSE POSITIVE,0.089,0,1,0,0,21.05647572,1.976e-05,-1.976e-05,171.133613,0.000698,-0.000698,0.938,0.001,-0.655,1.238,0.0732,-0.0732,1293.6,33.2,-33.2,5.05,0.86,-0.43,732.0,,,67.74,31.94,-15.84,52.1,1.0,q1_q17_dr25_tce,6156.0,110.0,-135.0,4.381,0.054,-0.126,1.118,0.191,-0.095,286.87967,39.378391,14.169
3207,4949751,K00404.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,31.80514278,4.189e-05,-4.189e-05,186.38905,0.00105,-0.00105,1.289,6.119,-0.191,7.6213,0.0559,-0.0559,4675.3,34.3,-34.3,34.82,8.75,-2.91,553.0,,,22.05,16.39,-5.46,161.3,1.0,q1_q17_dr25_tce,5931.0,161.0,-161.0,4.545,0.044,-0.176,0.863,0.217,-0.072,298.04453,40.086361,14.517
3208,10157458,K01083.02,,CANDIDATE,CANDIDATE,0.819,0,0,0,0,4.57797412,4.26e-05,-4.26e-05,135.63058,0.00788,-0.00788,0.343,0.108,-0.343,2.862,0.216,-0.216,125.4,14.8,-14.8,0.96,0.28,-0.09,1024.0,,,259.36,225.65,-70.29,9.6,2.0,q1_q17_dr25_tce,5795.0,155.0,-172.0,4.554,0.036,-0.192,0.848,0.252,-0.079,297.39319,47.164631,15.302
3209,5003117,K00405.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,37.60936976,1.412e-05,-1.412e-05,190.724991,0.000281,-0.000281,0.671,0.004,-0.005,6.8615,0.0145,-0.0145,27591.0,32.8,-32.8,15.8,4.03,-1.73,508.0,,,15.8,11.92,-4.58,971.1,1.0,q1_q17_dr25_tce,5600.0,152.0,-152.0,4.483,0.075,-0.162,0.896,0.229,-0.098,289.36136,40.128819,14.026
3210,5035972,K00406.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,49.26678528,2.695e-05,-2.695e-05,191.187887,0.000429,-0.000429,8.364,67.66,-0.466,5.5692,0.0219,-0.0219,8494.0,32.8,-32.8,929.36,300.9,-129.3,538.0,,,19.79,18.97,-7.27,309.0,1.0,q1_q17_dr25_tce,5988.0,169.0,-232.0,4.382,0.087,-0.203,1.143,0.37,-0.159,297.77219,40.15506,14.385
3211,5218441,K00407.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,3.613757526,1.037e-06,-1.037e-06,171.422542,0.000229,-0.000229,0.812,0.003,-0.005,5.9128,0.0192,-0.0192,4872.2,9.8,-9.8,7.05,2.05,-0.73,1182.0,,,461.67,398.4,-135.49,591.2,1.0,q1_q17_dr25_tce,5986.0,168.0,-189.0,4.498,0.065,-0.195,0.906,0.264,-0.094,299.07513,40.35833,14.915
3212,5351250,K00408.01,Kepler-150 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.381980206,7.158e-06,-7.158e-06,173.072659,0.00076,-0.00076,0.096,0.283,-0.096,3.1152,0.0287,-0.0287,1433.8,15.3,-15.3,3.42,0.41,-0.27,876.0,,,138.88,49.66,-29.55,101.6,1.0,q1_q17_dr25_tce,5559.0,110.0,-110.0,4.47,0.068,-0.102,0.914,0.11,-0.07,288.2341,40.520901,14.985
3213,8043638,K00460.01,Kepler-559 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,17.58751692,2.11e-05,-2.11e-05,176.077382,0.000913,-0.000913,0.106,0.291,-0.106,4.3773,0.0358,-0.0358,1377.8,14.0,-14.0,4.03,0.68,-0.68,706.0,,,58.6,26.22,-20.18,109.4,1.0,q1_q17_dr25_tce,5433.0,81.0,-73.0,4.302,0.159,-0.116,1.107,0.186,-0.186,296.63684,43.802792,14.743
3214,8261920,K02174.04,,CANDIDATE,CANDIDATE,0.69,0,0,0,0,3.01609637,2.715e-05,-2.715e-05,131.55327,0.00783,-0.00783,0.7,0.27,-0.482,1.57,0.259,-0.259,196.3,32.3,-32.3,0.96,0.04,-0.05,795.0,,,94.1,16.25,-15.81,8.1,4.0,q1_q17_dr25_tce,4245.0,85.0,-85.0,4.641,0.027,-0.02,0.637,0.026,-0.032,300.24222,44.141399,15.673
3215,8621348,K00461.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,11.34436822,3.465e-05,-3.465e-05,172.84392,0.00249,-0.00249,1.183,23.59,-0.098,5.558,0.133,-0.133,586.3,13.3,-13.3,17.21,3.62,-1.28,703.0,,,57.67,37.46,-13.42,52.2,1.0,q1_q17_dr25_tce,5594.0,169.0,-152.0,4.602,0.034,-0.145,0.752,0.158,-0.056,290.53214,44.77512,14.41
3216,8773869,K00462.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.576341127,2.21e-06,-2.21e-06,170.88145,0.00116,-0.00116,0.01,0.377,-0.01,3.1232,0.0396,-0.0396,335.1,4.5,-4.5,2.96,1.53,-1.53,1797.0,,,2460.7,3903.35,-1951.42,88.7,1.0,q1_q17_dr25_tce,5087.0,151.0,-151.0,3.967,0.609,-0.261,1.666,0.861,-0.861,298.42087,44.950802,14.111
3217,8845205,K00463.01,Kepler-560 b,CONFIRMED,CANDIDATE,0.001,0,0,0,0,18.47762694,1.563e-05,-1.563e-05,185.269061,0.000674,-0.000674,0.712,0.154,-0.488,1.94,0.0457,-0.0457,2604.6,39.7,-39.7,1.55,0.32,-0.29,267.0,,,1.21,0.72,-0.47,75.7,1.0,q1_q17_dr25_tce,3395.0,74.0,-67.0,4.97,0.072,-0.065,0.283,0.059,-0.053,300.20609,45.018139,14.708
3218,8890783,K00464.01,Kepler-561 b,CONFIRMED,CANDIDATE,0.963,0,0,0,0,58.36205791,4.095e-05,-4.095e-05,196.555405,0.000432,-0.000432,0.402,0.045,-0.319,6.3363,0.0508,-0.0508,5374.7,20.6,-20.6,7.02,1.95,-0.79,446.0,,,9.33,7.65,-2.79,286.6,1.0,q1_q17_dr25_tce,5592.0,150.0,-166.0,4.467,0.065,-0.182,0.953,0.266,-0.106,293.7471,45.10722,14.361
3219,8890783,K00464.02,Kepler-561 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.350156114,4.542e-06,-4.542e-06,195.761347,0.000626,-0.000626,0.008,0.349,-0.008,2.2647,0.0215,-0.0215,764.8,9.9,-9.9,2.6,0.72,-0.29,989.0,,,226.02,185.09,-67.76,87.1,2.0,q1_q17_dr25_tce,5592.0,150.0,-166.0,4.467,0.065,-0.182,0.953,0.266,-0.106,293.7471,45.10722,14.361
3220,6716545,K02906.03,,CANDIDATE,CANDIDATE,0.867,0,0,0,0,21.9424316,0.0005337,-0.0005337,143.8807,0.0201,-0.0201,0.413,0.048,-0.413,7.447,0.652,-0.652,72.7,7.3,-7.3,1.23,0.23,-0.2,797.0,,,95.46,45.92,-32.65,10.7,2.0,q1_q17_dr25_tce,6052.0,82.0,-82.0,4.183,0.154,-0.112,1.424,0.263,-0.237,297.94476,42.191879,13.716
3221,6422155,K00510.02,Kepler-172 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.38899658,1.397e-05,-1.397e-05,175.4761,0.00172,-0.00172,0.876,0.006,-0.628,3.5032,0.0478,-0.0478,543.3,12.7,-12.7,2.89,0.42,-0.3,970.0,,,209.17,87.35,-54.46,45.8,2.0,q1_q17_dr25_tce,5527.0,111.0,-111.0,4.376,0.099,-0.11,1.054,0.152,-0.11,283.36841,41.821861,14.532
3222,6422155,K00510.03,Kepler-172 d,CONFIRMED,CANDIDATE,0.932,0,0,0,0,14.62709685,6.553e-05,-6.553e-05,136.23467,0.00358,-0.00358,0.945,0.017,-0.719,4.097,0.107,-0.107,396.4,18.2,-18.2,2.7,0.39,-0.28,736.0,,,69.31,28.94,-18.05,22.7,3.0,q1_q17_dr25_tce,5527.0,111.0,-111.0,4.376,0.099,-0.11,1.054,0.152,-0.11,283.36841,41.821861,14.532
3223,6422155,K00510.04,Kepler-172 e,CONFIRMED,CANDIDATE,0.998,0,0,0,0,35.1184432,0.0002168,-0.0002168,152.12282,0.00447,-0.00447,0.958,0.045,-0.693,4.59,0.237,-0.237,542.4,27.6,-27.6,3.26,0.47,-0.34,550.0,,,21.57,9.01,-5.62,20.4,4.0,q1_q17_dr25_tce,5527.0,111.0,-111.0,4.376,0.099,-0.11,1.054,0.152,-0.11,283.36841,41.821861,14.532
3224,6451936,K00511.01,Kepler-173 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.00579096,1.123e-05,-1.123e-05,170.50325,0.00118,-0.00118,0.092,0.329,-0.092,3.0549,0.0421,-0.0421,629.7,10.2,-10.2,2.36,0.55,-0.42,956.0,,,197.06,137.49,-78.75,69.2,1.0,q1_q17_dr25_tce,6032.0,163.0,-181.0,4.395,0.165,-0.182,0.935,0.22,-0.165,294.6467,41.884109,14.209
3225,6451936,K00511.02,Kepler-173 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.26374378,1.696e-05,-1.696e-05,133.72073,0.00307,-0.00307,0.368,0.089,-0.368,2.2725,0.0841,-0.0841,182.0,8.7,-8.7,1.28,0.3,-0.22,1179.0,,,457.15,318.96,-182.68,23.8,2.0,q1_q17_dr25_tce,6032.0,163.0,-181.0,4.395,0.165,-0.182,0.935,0.22,-0.165,294.6467,41.884109,14.209
3226,1723078,K07624.01,,CANDIDATE,CANDIDATE,0.246,0,0,0,0,330.025002,0.007352,-0.007352,364.8075,0.0118,-0.0118,0.68,0.276,-0.457,6.659,0.604,-0.604,259.2,28.3,-28.3,5.92,0.79,-2.39,478.0,,,12.36,5.55,-8.42,12.2,1.0,q1_q17_dr25_tce,6126.0,185.0,-167.0,3.578,0.345,-0.115,3.466,0.466,-1.399,291.86801,37.269878,12.668
3227,8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,0.881,0,0,0,0,84.6877524,0.0001778,-0.0001778,150.57084,0.00172,-0.00172,0.017,0.303,-0.017,10.0248,0.052,-0.052,347.7,4.1,-4.1,3.37,0.58,-0.78,611.0,,,32.96,15.8,-15.16,95.1,1.0,q1_q17_dr25_tce,6688.0,120.0,-147.0,4.062,0.174,-0.116,1.79,0.311,-0.415,299.82117,43.81427,11.642
3228,7025846,K00565.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.340523247,8.603e-06,-8.603e-06,170.19754,0.0026,-0.0026,0.725,0.009,-0.523,3.156,0.103,-0.103,175.4,5.6,-5.6,1.4,0.35,-0.21,1456.0,,,1063.8,799.05,-381.17,37.2,1.0,q1_q17_dr25_tce,6056.0,163.0,-181.0,4.397,0.139,-0.186,0.981,0.25,-0.146,289.35855,42.526192,14.3
3229,7119481,K00566.01,Kepler-604 b,CONFIRMED,CANDIDATE,0.993,0,0,0,0,25.85499978,8.545e-05,-8.545e-05,192.57484,0.00278,-0.00278,0.265,0.168,-0.265,3.8737,0.0857,-0.0857,610.5,20.8,-20.8,2.4,0.75,-0.25,637.0,,,38.81,36.45,-11.58,31.7,1.0,q1_q17_dr25_tce,6122.0,182.0,-200.0,4.487,0.054,-0.216,0.964,0.302,-0.101,292.31601,42.626251,14.718
3230,7445445,K00567.01,Kepler-184 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.68758211,1.413e-05,-1.413e-05,169.93115,0.00104,-0.00104,0.818,0.018,-0.561,3.3812,0.0415,-0.0415,777.7,10.8,-10.8,2.64,0.69,-0.29,780.0,,,87.41,66.99,-25.58,78.9,1.0,q1_q17_dr25_tce,5788.0,155.0,-155.0,4.524,0.06,-0.18,0.848,0.221,-0.095,291.9519,43.074711,14.338
3231,7445445,K00567.02,Kepler-184 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.30303506,5.995e-05,-5.995e-05,176.8028,0.00223,-0.00223,0.793,0.132,-0.574,4.5038,0.0695,-0.0695,533.4,12.8,-12.8,2.16,0.56,-0.24,630.0,,,37.12,28.44,-10.87,44.7,2.0,q1_q17_dr25_tce,5788.0,155.0,-155.0,4.524,0.06,-0.18,0.848,0.221,-0.095,291.9519,43.074711,14.338
3232,8397947,K04772.03,,FALSE POSITIVE,FALSE POSITIVE,0.186,0,0,1,0,39.0930875,0.0008834,-0.0008834,147.6774,0.0203,-0.0203,0.862,0.106,-0.658,5.687,0.461,-0.461,476.3,49.0,-49.0,2.99,0.5,-0.31,602.0,,,31.11,13.47,-7.55,10.1,2.0,q1_q17_dr25_tce,6072.0,78.0,-91.0,4.343,0.076,-0.114,1.193,0.199,-0.123,301.57855,44.31218,15.514
3233,5351250,K00408.02,Kepler-150 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.56096618,2.653e-05,-2.653e-05,166.79483,0.00165,-0.00165,0.022,0.437,-0.022,3.7647,0.0608,-0.0608,923.1,18.1,-18.1,2.74,0.33,-0.21,734.0,,,68.49,24.49,-14.58,55.1,2.0,q1_q17_dr25_tce,5559.0,110.0,-110.0,4.47,0.068,-0.102,0.914,0.11,-0.07,288.2341,40.520901,14.985
3234,5351250,K00408.03,Kepler-150 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,30.8261043,0.0002079,-0.0002079,153.01503,0.00552,-0.00552,0.943,0.003,-0.654,5.914,0.262,-0.262,742.2,25.2,-25.2,3.18,0.38,-0.24,544.0,,,20.68,7.4,-4.4,32.3,3.0,q1_q17_dr25_tce,5559.0,110.0,-110.0,4.47,0.068,-0.102,0.914,0.11,-0.07,288.2341,40.520901,14.985
3235,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.696121272,2.394e-06,-2.394e-06,134.5014,0.00054,-0.00054,0.016,0.371,-0.016,2.463,0.0181,-0.0181,383.4,3.3,-3.3,1.78,0.19,-0.16,1095.0,,,340.33,112.79,-80.17,130.0,2.0,q1_q17_dr25_tce,5465.0,109.0,-109.0,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498
3236,5351250,K00408.04,Kepler-150 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.42806306,1.99e-05,-1.99e-05,132.36268,0.00534,-0.00534,0.082,0.377,-0.082,2.417,0.144,-0.144,178.4,12.6,-12.6,1.21,0.14,-0.1,1131.0,,,386.14,138.06,-82.18,16.6,4.0,q1_q17_dr25_tce,5559.0,110.0,-110.0,4.47,0.068,-0.102,0.914,0.11,-0.07,288.2341,40.520901,14.985
3237,5444548,K00409.01,Kepler-545 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.24931848,1.872e-05,-1.872e-05,179.52171,0.00112,-0.00112,0.62,0.033,-0.446,4.4859,0.0438,-0.0438,647.6,8.4,-8.4,2.86,0.43,-0.34,806.0,,,99.54,41.19,-28.54,87.8,1.0,q1_q17_dr25_tce,5799.0,104.0,-116.0,4.361,0.11,-0.11,1.078,0.159,-0.13,290.56631,40.692039,14.15
3238,10187017,K00082.06,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,22.4098677,0.0001651,-0.0001651,147.38366,0.00646,-0.00646,0.869,0.077,-0.611,2.271,0.203,-0.203,69.8,6.7,-6.7,0.73,0.05,-0.03,489.0,,,13.55,3.08,-2.04,11.9,6.0,q1_q17_dr25_tce,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,281.48273,47.208031,11.492
3239,8891318,K00465.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,363.706662,0.002787,-0.002787,204.02069,0.00333,-0.00333,0.9315,0.013,-0.0165,8.553,0.319,-0.319,1624.6,48.0,-48.0,5.26,2.45,-0.6,283.0,,,1.51,2.14,-0.49,43.7,,,6240.0,182.0,-239.0,4.397,0.076,-0.295,1.064,0.497,-0.121,293.9285,45.142509,14.188
3240,9008220,K00466.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,9.391039263,5.726e-06,-5.726e-06,170.539799,0.000498,-0.000498,0.964,0.033,-0.018,2.8386,0.0426,-0.0426,2895.6,29.3,-29.3,11.73,1.92,-2.33,1068.0,,,308.13,131.15,-120.7,141.0,1.0,q1_q17_dr25_tce,5944.0,79.0,-79.0,4.132,0.182,-0.098,1.498,0.244,-0.298,286.15198,45.332561,14.663
3241,9583881,K00467.01,Kepler-562 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,18.00932214,1.014e-05,-1.014e-05,182.441015,0.000449,-0.000449,0.55,0.081,-0.247,4.9611,0.0502,-0.0502,3004.4,14.8,-14.8,4.96,1.57,-0.39,658.0,,,44.29,40.55,-10.66,245.2,1.0,q1_q17_dr25_tce,5815.0,146.0,-160.0,4.54,0.037,-0.213,0.877,0.278,-0.069,290.11963,46.273811,14.794
3242,9589524,K00468.01,Kepler-563 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,22.18431824,2.569e-05,-2.569e-05,174.597325,0.000907,-0.000907,0.032,0.348,-0.032,3.0397,0.0322,-0.0322,1593.0,21.2,-21.2,3.18,0.34,-0.37,546.0,,,21.06,7.86,-6.51,87.6,1.0,q1_q17_dr25_tce,5157.0,153.0,-153.0,4.5,0.093,-0.076,0.818,0.086,-0.096,292.44626,46.289768,14.767
3243,9955262,K00076.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,77.4794704,0.0002456,-0.0002456,154.70734,0.0023,-0.0023,0.019,0.345,-0.019,10.1151,0.0844,-0.0844,1237.0,20.1,-20.1,10.33,1.8,-3.35,778.0,,,86.59,43.85,-51.56,72.6,1.0,q1_q17_dr25_tce,6711.0,149.0,-199.0,3.73,0.277,-0.092,2.909,0.508,-0.944,293.54199,46.82214,10.143
3244,8019043,K06048.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.80489537,,,132.0521644,,,,,,0.92,,,,,,,,,,,,,,,,3.0,q1_q17_dr25_tce,,,,,,,,,,288.08749,43.876141,11.427
3245,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.28691996,2.947e-05,-2.947e-05,135.85427,0.00452,-0.00452,0.705,0.23,-0.494,2.579,0.136,-0.136,41.5,2.9,-2.9,0.51,0.03,-0.02,792.0,,,92.97,21.13,-14.02,15.8,5.0,q1_q17_dr25_tce,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,281.48273,47.208031,11.492
